start,end,map,result,Role
3:18:01,3:28:49,Nepal,Defeat,DPS
3:39:04,3:55:49,Havana,Defeat,DPS
4:03:03,4:24:51,Volskaya,Draw,DPS
4:53:53,5:07:16,Gibraltar,Defeat,DPS
25:44,35:05,Volskaya,Defeat,DPS
36:51,53:32,Hollywood,Victory,DPS
56:41,1:13:39,Route 66,Victory,DPS
1:27:04,1:38:01,Busan,Defeat,DPS
1:49:17,2:03:08,Volskaya,Victory,DPS
2:12:40,2:38:04,King's Row,Victory,DPS
3:07:00,3:23:06,Route 66,Defeat,DPS
3:30:21,3:43:44,Hanamura,Defeat,DPS
3:47:20,4:00:39,Lijiang,Defeat,Support
4:10:42,4:27:36,Nepal,Victory,Support
12:59,26:17,Volskaya,Defeat,DPS
36:22,55:26,Havana,Defeat,DPS
10:14,25:48,Eichenwalde,Defeat,DPS
50:37,1:11:08,Dorado,Defeat,DPS
1:23:18,1:33:20,Volskaya,Defeat,DPS
1:42:01,1:51:22,Rialto,Victory,DPS
9:23,26:57,Havana,Defeat,DPS
35:06,50:03,Busan,Defeat,DPS
57:20,1:10:35,Temple of Anubis,Victory,DPS
14:40,30:42,King's Row,Defeat,DPS
21:13,22:04,King's Row,I got 3,DPS
32:31,47:19,Route 66,Victory,DPS
48:33,1:05:50,Lijiang,Victory,DPS
1:06:37,1:30:15,Volskaya,Draw,DPS
1:31:22,1:40:21,Ilios,Victory,DPS
9:43,35:30,Eichenwalde,Victory,DPS
41:49,1:01:55,Hanamura,Victory,DPS
2:13:54,2:14:15,Ilios,Got the basketball,DPS
