playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,count
8675,7693,offense,Adora,HZS,16.0021291174831,3.87623495883797,5390.96442956836,5678.86435980719,4.41025307668263,4.13403680883195,65166.3283269405,1
3985,4523,offense,aKm,DAL,17.2961432821973,5.17853349989675,9600.6236356243,158.646056237957,4.57582515993939,6.05087451825608,75658.4851691723,1
8812,7692,tank,ameng,CDH,16.4705438597822,6.20266477183584,7051.64085194439,0.724797624210271,4.5116438416734,5.04600645560473,88703.8104168177,1
4841,4403,support,Anamo,NYE,14.1650206563491,2.74520697137451,3948.12725027942,6563.24454043375,3.56753248307002,1.89814986534228,97041.8634288311,1
5715,4404,offense,Architect,SFS,18.1817560696534,4.55588830251084,7825.86211723941,3806.89474721666,4.63948258329086,8.0877466654665,28710.0980785489,1
4652,7697,support,ArK,WAS,7.87013046004536,2.64146907394626,2482.55593554341,6825.26861297826,3.51894338960649,1.32073453697313,66326.727701664,1
5878,4402,tank,Axxiom,BOS,13.5890145616455,6.323051673582,7227.73215859708,0,3.7716448579261,3.38338729902195,10817.5614451766,1
4491,7698,offense,babybay,ATL,18.2851372511268,4.89853509132536,9724.89401327104,153.512705165374,4.52015137863426,6.32003066062437,58670.6014434695,1
8896,7692,offense,Baconjack,CDH,15.6058298801347,6.1194872270499,7305.17159418232,123.938221652471,4.23131830569249,6.50622062058093,26374.7588664889,1
4624,4525,support,Bani,HOU,11.3034482099198,5.25741777205574,4791.69132955201,6825.3777696468,3.68019244043902,2.1029671088223,2282.4893360734,1
8676,7693,offense,Bazzi,HZS,15.8145849334461,5.84642696245696,5369.93701179516,7506.3526381858,4.58944516552871,3.80017752559702,20525.35690099,1
4655,4410,support,Bdosin,LDN,15.0484638589343,4.10721742918947,6983.86846302886,8836.73664707043,4.74642014167922,3.88281647693243,88234.9196866155,1
8731,7693,support,BEBE,HZS,14.1549762959235,3.95266097213952,7197.34035806503,9429.70182850621,4.80339926084505,3.53383596846911,91685.0705270171,1
8708,7694,tank,BenBest,PAR,13.4113523119309,6.58448923748413,6648.91260838958,0,4.20114650735184,4.02609873621218,44559.2648750544,1
4643,4406,support,BigG00se,GLA,12.3500824549698,4.68384478648409,3870.85958022667,6429.32159462269,3.65521036514297,2.2060650168385,92744.3200623393,1
4639,7699,tank,Bischu,GZC,16.7943933186584,5.92743293599708,7229.2138132935,1836.44312735336,2.96371646799854,8.89114940399562,1214.6910943985,1
8184,4525,offense,blase,HOU,14.1151517497536,5.68875777814803,5288.56347713505,5127.84224940241,3.99343261247477,4.54598303684235,95556.8897814751,1
4625,4525,support,Boink,HOU,8.67560380396478,5.08455433346368,2736.0006842401,5754.13911963079,3.13304131252592,1.77229243738225,90391.4030331373,1
4079,4524,support,Boombox,PHI,14.7163972782184,4.68637394344337,6282.96286483109,9251.73115794193,4.76524699718996,3.54271466411778,91285.9291987419,1
8704,4407,offense,bqb,FLA,16.4393325316142,4.80901636298258,8641.23356775408,319.525665385378,4.53616437075661,4.97272755831815,87959.7755699158,1
8771,7696,tank,BUMPER,VAN,16.6304739873611,5.90624838560028,7969.09362464387,6.32478995090573,4.65420825376909,5.39909288916233,113574.634218812,1
10031,4407,support,byrem,FLA,11.4182185362934,5.36066597948046,5266.26293255464,7719.47852584463,3.75246618563632,4.12771280419995,11192.6391664147,1
4620,4524,offense,carpe,PHI,17.9830184708475,4.84487997630804,8782.86789961741,137.704462781399,4.14662925911573,7.03150722225237,97959.0830569267,1
8721,7699,support,Chara,GZC,10.361039046218,3.86666897388424,3932.99091703643,5914.06703757716,3.25399255196596,1.91291193954484,88137.8784431219,1
5831,4404,tank,Choihyobin,SFS,19.3915507734065,3.47255282324771,6035.14289609943,302.338208889453,2.88216517169092,5.95754812025497,111790.956037045,1
4663,4523,support,Closer,DAL,10.9355856249812,3.5278186184346,3511.19780686036,6354.66001178283,3.37783742023868,1.93671373322565,92011.533218801,1
5306,4402,offense,ColourHex,BOS,14.8994167876495,5.54809024023177,8649.81290776422,168.870374246055,3.96681636340896,5.75256531051059,88030.2912988663,1
8892,4408,support,CoMa,SHD,7.90998398489101,3.70022256961926,2070.65567106362,6161.83463450467,3.18461778532805,1.3890999482669,98912.9689130187,1
4138,4525,tank,coolmatt,HOU,15.2085147135024,4.52708874187932,6774.21148157198,183.137562146907,4.21415634036692,4.77743466308923,28760.2049404383,1
8784,7697,offense,Corey,WAS,15.0251580265324,5.20179471866028,9003.29208890831,127.436106851134,4.60807495829439,7.03692852342759,88930.8450294137,1
3577,4405,support,Custa,VAL,9.49660678288094,4.47592009611753,3074.27919778075,6896.47780638328,3.52625941782943,1.68583174672848,81502.7954400778,1
8701,7698,tank,Daco,ATL,17.8564229405468,3.81893685701908,6663.50162209621,41.5906077737374,2.97414173410273,5.20764116866237,51846.8902244568,1
4489,4525,offense,Danteh,HOU,17.2442519143477,4.20041973835255,7516.7147711974,406.852324294232,4.38549570383552,5.31087553125036,74563.9768188596,1
8895,4408,offense,DDing,SHD,18.2508910978942,4.8537573745881,9069.24547432724,378.771925447941,4.38301288478533,6.9403005185788,94318.682346344,1
8180,4406,offense,Decay,GLA,18.7793927340315,4.48684858044108,9050.85442547788,149.994398236926,4.41256300791722,6.57427316836151,80769.3849040866,1
8893,4408,offense,diem,SHD,19.0693048193782,4.77096816527606,8722.34321023358,28.6729205959531,4.51603093507047,7.91762197809935,82373.2178429365,1
4615,4408,offense,Diya,SHD,14.4463889491248,4.8154629830416,10081.8169837845,0,3.6115972372812,7.22319447456239,498.394444823265,1
9251,7698,support,Dogman,ATL,15.0299969306241,5.03854597959195,6305.91541834583,8955.63126724849,4.81016995785407,3.75393085731638,84071.8734562993,1
8722,7699,offense,Eileen,GZC,15.9593606452406,4.45190624242865,6577.18011285286,3561.73676485137,4.58048115195727,4.80548724363237,37332.3225938678,1
8787,7692,tank,Elsa,CDH,18.0027337398883,4.02701414790315,6932.30270191314,111.105287506919,3.08297640503405,5.7368447451276,90886.1967099309,1
4634,4408,tank,Envy,SHD,16.7731836179619,4.46778153771494,6471.33140518081,219.23621113369,3.36983900481713,5.37991841119927,71041.9695593119,1
8692,7698,offense,Erster,ATL,17.6753396255316,4.84943694148888,6217.77450057928,5999.09783848833,4.67147595281039,5.55492514660719,94402.7122166157,1
4636,4407,tank,Fate,FLA,14.1429317007058,6.14239373813501,7046.42615111654,1.55430484811085,4.09492915875667,4.11596475375028,85569.2458685637,1
8831,4409,offense,FITS,SEO,18.8825191752505,4.57325867235423,9527.15042753698,263.758963561857,4.55424304377895,6.74104032993586,63105.9864915609,1
4631,4409,offense,Fleta,SEO,17.9816862613479,4.72320355496093,8020.6437778292,2659.19997076269,4.13673038627398,6.29411382822953,57291.6235455871,1
4019,7699,tank,fragi,GZC,18.7702042973241,5.43348019133066,4656.07030483019,0,2.96371646799854,7.40929116999635,1214.6910943985,1
9591,7698,tank,frd,ATL,18.6133982834924,3.90522263021827,5983.49222892579,477.419815161219,2.96258268499317,6.22441614624827,40100.1466057897,1
10011,7698,support,FunnyAstro,ATL,11.7534518169383,5.28905331762224,3766.55266305152,5403.95671106191,3.5260355450815,2.93836295423458,1020.97666174173,1
4659,4410,tank,Fury,LDN,18.8577551014814,3.90388614381545,6670.62365786585,231.368301468095,3.61936562824924,6.21313404922493,90678.8740652204,1
8203,4402,tank,Fusions,BOS,13.3433784749286,6.43629372546097,6461.49497594943,0,3.72118384728555,4.47573932411815,93034.9088375568,1
4606,4408,tank,Gamsu,SHD,16.8363719287719,6.07997348515961,6835.0692249879,0,3.99328187023251,5.44030313891708,96612.2634307146,1
10144,4407,tank,GARGOYLE,FLA,18.2283831370088,4.37244846722415,5583.24136517707,1047.5821262205,2.80663921882631,5.93825771562199,20308.9872106314,1
8785,7692,support,GARRY,CDH,10.6681491114366,4.16318014104841,5385.9548887926,6345.47681499486,3.64278262341736,2.86218634697078,2305.92952376604,1
8712,7698,tank,Gator,ATL,15.5583540932037,6.56908283935269,6106.7107679525,0,4.14889442485433,4.84037682899672,1735.40207648277,1
5210,4408,tank,Geguri,SHD,17.4790514680709,4.91303068291723,6301.21264052182,199.661118573409,3.21236621575357,5.81060359614249,12700.9180335403,1
4666,4410,tank,Gesture,LDN,15.8079383013377,5.7501458283225,6492.81222643405,0,3.88416064582889,5.16123561115253,90675.9611959457,1
8713,7693,offense,GodsB,HZS,17.8204429953959,3.99613642719559,9683.68550969661,198.616918205779,4.51630732506944,6.60311057418689,98044.7007098198,1
8694,7694,support,Greyy,PAR,12.7440865241411,5.74487364966203,5223.30334524436,8047.98068974349,4.54907025533645,3.54559887548282,71750.9252834916,1
8741,7693,tank,Guxue,HZS,15.9239261298596,4.91131026208195,7307.05652023814,0,4.19593733875349,5.06951773551036,87227.2320703268,1
8750,7696,offense,Haksal,VAN,19.3411044841913,4.28224397503698,6198.42623009453,7396.9561363943,4.97592380262588,5.46204588652676,109848.948995471,1
8723,7699,offense,Happy,GZC,16.2330575650242,4.18848562227218,8359.17990456244,1143.80284792158,4.27411054129648,6.2149420391807,84087.6707627177,1
3660,4523,support,HarryHook,DAL,9.35343736579989,5.05085617753194,3508.86643993044,10731.194371858,4.58318430924195,1.40301560486998,12829.5080521703,1
9424,4409,support,Highly,SEO,14.0249550087296,3.80924703940803,5831.97754560251,8493.06319636031,4.50183741020949,3.28980426130694,13861.0070320368,1
4661,7696,offense,Hooreg,VAN,13.3766441941398,5.66806957378804,6044.80760888361,158.490268357749,3.91096800591375,5.66806957378804,10585.6145939827,1
4671,7699,tank,HOTBA,GZC,17.0308745909195,3.66529662067088,6212.06577961548,274.464735366512,2.8664499212939,5.86715979206292,89378.8508554697,1
4645,4525,offense,Hydration,HOU,16.1370616928689,5.23077984007692,5519.00465731931,7443.21648350999,4.59546245059389,4.01308817690112,56664.5909523964,1
8742,7694,support,HyP,PAR,13.7705868259278,5.61839942497855,7008.93662769719,10568.3605073068,4.81970538907473,3.77314079030422,21785.5639554262,1
8717,7693,support,iDK,HZS,12.3398002699323,3.58369629460934,4030.63311704529,5718.2384286044,3.30476223445362,2.20721734558003,98948.1169298291,1
